"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"4";"";"22-05-7028-02";"7395-02";"IN0.0, IN0.1, IN0.2, IN0.3";"CONNECTOR";"";"";"9731601";"unknown";
"1";"";"OSCILLATOR";"OSCILLATOR_3.2X2.5";"OSC1";"";"";"";"";"";
"1";"";"STEREO_JACK";"35RASMT2BHNTRX";"CLKIN";"";"";"";"";"";
"1";"";"USB_MINI_B";"240-0002-1";"USB";"";"";"";"";"";
"10";"100k";"R-EU_R0402";"R0402";"R4, R5, R6, R7, R8, R9, R10, R11, R12, R13";"RESISTOR, European symbol";"";"";"";"";
"18";"100nF";"C-EUC0402";"C0402";"C2, C5, C6, C7, C8, C11, C14, C16, C17, C18, C19, C20, C21, C22, C23, C25, C26, C27";"CAPACITOR, European symbol";"";"";"";"";
"1";"10k";"R-EU_R0402";"R0402";"R25";"RESISTOR, European symbol";"";"";"";"";
"2";"10uF";"C-EUC0603";"C0603";"C1, C10";"CAPACITOR, European symbol";"";"";"";"";
"1";"1M";"R-EU_R0603";"R0603";"RUSB";"RESISTOR, European symbol";"";"";"";"";
"1";"330nF";"C-EUC0402";"C0402";"C9";"CAPACITOR, European symbol";"";"";"";"";
"1";"4.7nF";"C-EUC0402";"C0402";"CUSB";"CAPACITOR, European symbol";"";"";"";"";
"1";"4.7uF";"C-EUC0603";"C0603";"C4";"CAPACITOR, European symbol";"";"";"";"";
"1";"4.7uF";"CPOL-EUA/3216-18W";"A/3216-18W";"C15";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"2";"47pF";"C-EUC0402";"C0402";"C12, C13";"CAPACITOR, European symbol";"";"";"";"";
"11";"68";"R-EU_R0402";"R0402";"R1, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23";"RESISTOR, European symbol";"";"";"";"";
"1";"???";"R-EU_R0805";"R0805";"L4";"RESISTOR, European symbol";"";"";"";"";
"1";"ATXMEGAxxxA4U-AU";"AT-XMEGA-XXA4-AU";"QFP80P1200X1200X120-44N";"IC2";"ATxMega a4 Serie";"";"";"";"";
"1";"BC817-40W";"BC817";"SOT323-BEC";"Q2";"NPN Transistor";"";"";"";"";
"4";"BNC";"BNC";"BNC_RA";"CTRL0.0, CTRL0.1, CTRL0.2, CTRL0.3";"";"";"";"";"";
"1";"CON_3.5MM_1X6";"CON_3.5MM_1X6";"CON_3.5MM_1X6";"X2";"";"";"";"";"";
"1";"CON_3.5MM_1X8";"CON_3.5MM_1X8";"CON_3.5MM_1X8";"X1";"";"";"";"";"";
"1";"FT232RL";"FT232RL";"SSOP28";"IC4";"Source: http://www.ftdichip.com/Documents/DataSheets/DS_FT232R_v104.pdf";"";"FT232RL";"1146032";"91K9918";
"11";"GREEN";"LEDHAND";"LED_HAND";"OUT00, OUT01, OUT02, OUT03, OUT04, OUT05, OUT10, OUT11, OUT12, OUT13, STATE";"";"";"";"";"";
"2";"NA";"C-EUC0402";"C0402";"C3, C29";"CAPACITOR, European symbol";"";"";"";"";
"1";"PDI";"PDI";"PDI_2.54_1X4";"PDI";"";"";"";"";"";
"1";"RTU002P02T106";"MOSFET-PCHANNEL-ROHM";"SOT323";"Q6";"PMOS (RTU002P02)";"";"";"";"";
"9";"SN74LVC1G240";"SN74LVC1G125";"SOT23-5";"IC5, IC6, IC7, IC8, IC9, IC10, IC12, IC13, IC14";"";"";"";"";"";
"1";"TPS70933";"TLV700XX";"TSOT23-5";"IC1";"";"";"";"";"";
"1";"USBLC6-2SC6";"USBLC6-2";"SOT23-6L";"IC3";"";"";"";"";"";
