"Centroid Data for pc board: ""synchronizer v1.1.brd"" as of: 20/12/2019 14:58:56"
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,2.240,2.479,270
C2,Top,2.174,2.481,270
C3,Top,1.906,2.531,0
C4,Top,1.958,2.393,180
C5,Top,1.347,1.925,180
C6,Top,1.829,1.357,270
C7,Top,2.089,1.753,0
C8,Top,1.640,2.042,90
C9,Top,1.359,1.691,180
C10,Top,0.907,1.713,270
C11,Top,1.911,2.973,0
C12,Top,1.712,2.627,270
C13,Top,1.675,2.962,90
C14,Top,1.455,3.021,180
C15,Top,1.481,3.222,270
C16,Top,1.531,2.280,270
C17,Top,1.556,2.987,90
C18,Top,0.723,2.429,180
C19,Top,0.723,1.818,180
C20,Top,0.723,1.125,180
C21,Top,0.723,0.409,180
C22,Top,1.192,1.084,0
C23,Top,1.372,1.081,0
C25,Top,1.922,1.081,0
C26,Top,1.740,1.081,0
C27,Top,1.556,1.081,0
C29,Top,2.568,0.919,0
CLKIN,Top,1.062,3.188,270
CUSB,Top,2.037,3.107,0
IC1,Top,2.045,2.495,90
IC2,Top,1.735,1.690,90
IC3,Top,1.772,2.894,180
IC4,Top,1.441,2.696,0
IC5,Top,0.723,2.589,180
IC6,Top,0.723,1.978,180
IC7,Top,0.723,1.285,180
IC8,Top,0.723,0.569,180
IC9,Top,1.192,0.944,0
IC10,Top,1.372,0.940,0
IC12,Top,1.922,0.937,0
IC13,Top,1.740,0.937,0
IC14,Top,1.556,0.937,0
L4,Top,1.873,2.694,90
OSC1,Top,1.344,1.806,270
OUT00,Top,2.634,2.039,180
OUT01,Top,2.634,1.949,180
OUT02,Top,2.634,1.859,180
OUT03,Top,2.634,1.769,180
OUT04,Top,2.634,1.679,180
OUT05,Top,2.634,1.589,180
OUT10,Top,2.634,1.505,180
OUT11,Top,2.634,1.415,180
OUT12,Top,2.634,1.325,180
OUT13,Top,2.634,1.085,180
Q2,Top,2.720,0.686,0
Q6,Top,2.567,0.687,180
R1,Top,1.942,2.035,180
R4,Top,0.723,2.749,0
R5,Top,0.723,2.138,0
R6,Top,0.723,1.445,0
R7,Top,0.723,0.729,0
R8,Top,1.192,0.803,180
R9,Top,1.372,0.799,180
R10,Top,2.720,0.806,0
R11,Top,1.922,0.799,0
R12,Top,1.740,0.799,0
R13,Top,1.550,0.799,0
R14,Top,2.790,2.039,0
R15,Top,2.790,1.949,0
R16,Top,2.790,1.859,0
R17,Top,2.790,1.769,0
R18,Top,2.790,1.679,0
R19,Top,2.790,1.589,0
R20,Top,2.790,1.505,0
R21,Top,2.790,1.415,0
R22,Top,2.790,1.325,0
R23,Top,2.790,1.085,0
R25,Top,2.564,0.806,0
RUSB,Top,2.038,3.190,0
STATE,Top,0.476,3.145,180
USB,Top,1.756,3.437,180
